model,oof_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_samples_oof
RandomForest,0.781021897810219,0.6447785818517525,0.6771743461217145,0.6558975750928918,0.731641347792318,0.781021897810219,0.7510355485278922,137
GradientBoosting,0.7591240875912408,0.6627788228665422,0.6664136448346974,0.6628900290853625,0.7462719086806678,0.7591240875912408,0.7513346837533341,137
MLP,0.7883211678832117,0.6884158705279395,0.6925253182490024,0.6828118719494688,0.7602907831324645,0.7883211678832117,0.7694954010197601,137
ELM,0.7372262773722628,0.6355236841924893,0.6380996707970392,0.6327473518142889,0.7098256913354168,0.7372262773722628,0.7202324843017164,137
Ensemble,0.7883211678832117,0.6863247863247862,0.6945496097469781,0.6871393281746409,0.7635036496350365,0.7883211678832117,0.7734357526726788,137
