fold,model,class_name,precision,recall,f1,support
3,Ensemble,Mixed,0.0,0.0,0.0,2
3,Ensemble,Perovskita,0.75,0.75,0.75,4
3,Ensemble,Pirocloro,1.0,0.6666666666666666,0.8,3
3,Ensemble,RockSalt,0.7777777777777778,1.0,0.875,7
3,Ensemble,Spinel,0.8,0.6666666666666666,0.7272727272727273,6
4,RandomForest,Fluorita,1.0,1.0,1.0,5
4,RandomForest,Mixed,0.0,0.0,0.0,2
4,RandomForest,Perovskita,0.8,1.0,0.8888888888888888,4
4,RandomForest,Pirocloro,0.75,1.0,0.8571428571428571,3
4,RandomForest,RockSalt,1.0,0.75,0.8571428571428571,8
4,RandomForest,Spinel,0.8333333333333334,1.0,0.9090909090909091,5
4,GradientBoosting,Fluorita,1.0,0.6,0.75,5
4,GradientBoosting,Mixed,0.0,0.0,0.0,2
4,GradientBoosting,Perovskita,0.8,1.0,0.8888888888888888,4
4,GradientBoosting,Pirocloro,0.75,1.0,0.8571428571428571,3
4,GradientBoosting,RockSalt,1.0,0.75,0.8571428571428571,8
4,GradientBoosting,Spinel,0.8333333333333334,1.0,0.9090909090909091,5
4,MLP,Fluorita,1.0,1.0,1.0,5
4,MLP,Mixed,0.0,0.0,0.0,2
4,MLP,Perovskita,0.8,1.0,0.8888888888888888,4
4,MLP,Pirocloro,0.75,1.0,0.8571428571428571,3
4,MLP,RockSalt,1.0,0.875,0.9333333333333333,8
4,MLP,Spinel,1.0,1.0,1.0,5
4,ELM,Fluorita,1.0,1.0,1.0,5
4,ELM,Mixed,0.0,0.0,0.0,2
4,ELM,Perovskita,0.75,0.75,0.75,4
4,ELM,Pirocloro,0.6,1.0,0.75,3
4,ELM,RockSalt,1.0,0.75,0.8571428571428571,8
4,ELM,Spinel,0.8333333333333334,1.0,0.9090909090909091,5
4,Ensemble,Fluorita,1.0,1.0,1.0,5
4,Ensemble,Mixed,0.0,0.0,0.0,2
4,Ensemble,Perovskita,0.8,1.0,0.8888888888888888,4
4,Ensemble,Pirocloro,0.75,1.0,0.8571428571428571,3
4,Ensemble,RockSalt,1.0,0.75,0.8571428571428571,8
4,Ensemble,Spinel,0.8333333333333334,1.0,0.9090909090909091,5
5,RandomForest,Fluorita,0.8,0.8,0.8,5
5,RandomForest,Mixed,0.0,0.0,0.0,2
5,RandomForest,Perovskita,0.75,0.75,0.75,4
5,RandomForest,Pirocloro,0.5,0.6666666666666666,0.5714285714285714,3
5,RandomForest,RockSalt,0.8888888888888888,1.0,0.9411764705882353,8
5,RandomForest,Spinel,1.0,0.8,0.8888888888888888,5
5,GradientBoosting,Fluorita,1.0,0.6,0.75,5
5,GradientBoosting,Mixed,0.2,0.5,0.2857142857142857,2
5,GradientBoosting,Perovskita,0.5,0.75,0.6,4
5,GradientBoosting,Pirocloro,1.0,0.3333333333333333,0.5,3
5,GradientBoosting,RockSalt,1.0,1.0,1.0,8
5,GradientBoosting,Spinel,1.0,0.8,0.8888888888888888,5
5,MLP,Fluorita,1.0,0.6,0.75,5
5,MLP,Mixed,0.3333333333333333,0.5,0.4,2
5,MLP,Perovskita,0.6666666666666666,1.0,0.8,4
5,MLP,Pirocloro,0.5,0.3333333333333333,0.4,3
5,MLP,RockSalt,0.8888888888888888,1.0,0.9411764705882353,8
5,MLP,Spinel,1.0,0.8,0.8888888888888888,5
5,ELM,Fluorita,1.0,0.6,0.75,5
5,ELM,Mixed,0.3333333333333333,0.5,0.4,2
5,ELM,Perovskita,0.5,0.75,0.6,4
5,ELM,Pirocloro,0.0,0.0,0.0,3
5,ELM,RockSalt,0.8888888888888888,1.0,0.9411764705882353,8
5,ELM,Spinel,1.0,1.0,1.0,5
5,Ensemble,Fluorita,1.0,0.6,0.75,5
5,Ensemble,Mixed,0.25,0.5,0.3333333333333333,2
5,Ensemble,Perovskita,0.6,0.75,0.6666666666666666,4
5,Ensemble,Pirocloro,0.5,0.3333333333333333,0.4,3
5,Ensemble,RockSalt,1.0,1.0,1.0,8
5,Ensemble,Spinel,1.0,1.0,1.0,5
