,Fluorita,Mixed,Perovskita,Pirocloro,RockSalt,Spinel
Fluorita,21,2,2,0,0,0
Mixed,2,1,2,3,1,2
Perovskita,2,1,16,2,0,0
Pirocloro,3,3,2,8,0,0
RockSalt,0,1,0,0,35,2
Spinel,0,1,0,0,2,23
