,Fluorita,Mixed,Perovskita,Pirocloro,RockSalt,Spinel
Fluorita,24,0,0,1,0,0
Mixed,3,0,2,3,1,2
Perovskita,2,1,17,1,0,0
Pirocloro,6,0,2,8,0,0
RockSalt,0,1,0,0,36,1
Spinel,0,0,0,0,4,22
