,Fluorita,Mixed,Perovskita,Pirocloro,RockSalt,Spinel
Fluorita,0.84,0.08,0.08,0.0,0.0,0.0
Mixed,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182
Perovskita,0.09523809523809523,0.047619047619047616,0.7619047619047619,0.09523809523809523,0.0,0.0
Pirocloro,0.1875,0.1875,0.125,0.5,0.0,0.0
RockSalt,0.0,0.02631578947368421,0.0,0.0,0.9210526315789473,0.05263157894736842
Spinel,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.8846153846153846
