,Fluorita,Mixed,Perovskita,Pirocloro,RockSalt,Spinel
Fluorita,23,0,1,1,0,0
Mixed,2,1,2,3,1,2
Perovskita,2,1,16,2,0,0
Pirocloro,3,3,1,9,0,0
RockSalt,0,1,0,0,36,1
Spinel,0,0,0,0,3,23
