,Fluorita,Mixed,Perovskita,Pirocloro,RockSalt,Spinel
Fluorita,23,0,1,1,0,0
Mixed,2,1,2,3,1,2
Perovskita,2,0,16,3,0,0
Pirocloro,2,2,3,9,0,0
RockSalt,0,1,0,0,37,0
Spinel,0,0,0,0,4,22
