trial	mean_acc	n_ok_folds	n_fail_folds	params_json
43	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 7, "model__random_type": "normal", "model__treinador": "no_re"}
44	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 7, "model__random_type": "uniform", "model__treinador": "no_re"}
45	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 8, "model__random_type": "normal", "model__treinador": "no_re"}
46	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 8, "model__random_type": "uniform", "model__treinador": "no_re"}
47	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 9, "model__random_type": "normal", "model__treinador": "no_re"}
48	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 9, "model__random_type": "uniform", "model__treinador": "no_re"}
49	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 10, "model__random_type": "normal", "model__treinador": "no_re"}
50	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 10, "model__random_type": "uniform", "model__treinador": "no_re"}
51	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 13, "model__random_type": "normal", "model__treinador": "no_re"}
52	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 13, "model__random_type": "uniform", "model__treinador": "no_re"}
53	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 17, "model__random_type": "normal", "model__treinador": "no_re"}
54	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 17, "model__random_type": "uniform", "model__treinador": "no_re"}
55	0.39090909090909093	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 25, "model__random_type": "normal", "model__treinador": "no_re"}
56	0.40909090909090906	5	0	{"model__hidden_units": 3, "model__activation_function": "relu", "model__C": 25, "model__random_type": "uniform", "model__treinador": "no_re"}
57	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 0, "model__random_type": "normal", "model__treinador": "no_re"}
58	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 0, "model__random_type": "uniform", "model__treinador": "no_re"}
59	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 1, "model__random_type": "normal", "model__treinador": "no_re"}
60	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 1, "model__random_type": "uniform", "model__treinador": "no_re"}
61	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 2, "model__random_type": "normal", "model__treinador": "no_re"}
62	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 2, "model__random_type": "uniform", "model__treinador": "no_re"}
63	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 3, "model__random_type": "normal", "model__treinador": "no_re"}
64	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 3, "model__random_type": "uniform", "model__treinador": "no_re"}
65	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 4, "model__random_type": "normal", "model__treinador": "no_re"}
66	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 4, "model__random_type": "uniform", "model__treinador": "no_re"}
67	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 5, "model__random_type": "normal", "model__treinador": "no_re"}
68	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 5, "model__random_type": "uniform", "model__treinador": "no_re"}
69	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 6, "model__random_type": "normal", "model__treinador": "no_re"}
70	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 6, "model__random_type": "uniform", "model__treinador": "no_re"}
71	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 7, "model__random_type": "normal", "model__treinador": "no_re"}
72	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 7, "model__random_type": "uniform", "model__treinador": "no_re"}
73	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 8, "model__random_type": "normal", "model__treinador": "no_re"}
74	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 8, "model__random_type": "uniform", "model__treinador": "no_re"}
75	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 9, "model__random_type": "normal", "model__treinador": "no_re"}
76	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 9, "model__random_type": "uniform", "model__treinador": "no_re"}
77	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 10, "model__random_type": "normal", "model__treinador": "no_re"}
78	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 10, "model__random_type": "uniform", "model__treinador": "no_re"}
79	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 13, "model__random_type": "normal", "model__treinador": "no_re"}
80	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 13, "model__random_type": "uniform", "model__treinador": "no_re"}
81	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 17, "model__random_type": "normal", "model__treinador": "no_re"}
82	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 17, "model__random_type": "uniform", "model__treinador": "no_re"}
83	0.43636363636363634	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 25, "model__random_type": "normal", "model__treinador": "no_re"}
84	0.35454545454545455	5	0	{"model__hidden_units": 3, "model__activation_function": "sin", "model__C": 25, "model__random_type": "uniform", "model__treinador": "no_re"}
85	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 0, "model__random_type": "normal", "model__treinador": "no_re"}
86	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 0, "model__random_type": "uniform", "model__treinador": "no_re"}
87	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 1, "model__random_type": "normal", "model__treinador": "no_re"}
88	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 1, "model__random_type": "uniform", "model__treinador": "no_re"}
89	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 2, "model__random_type": "normal", "model__treinador": "no_re"}
90	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 2, "model__random_type": "uniform", "model__treinador": "no_re"}
91	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 3, "model__random_type": "normal", "model__treinador": "no_re"}
92	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 3, "model__random_type": "uniform", "model__treinador": "no_re"}
93	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 4, "model__random_type": "normal", "model__treinador": "no_re"}
94	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 4, "model__random_type": "uniform", "model__treinador": "no_re"}
95	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 5, "model__random_type": "normal", "model__treinador": "no_re"}
96	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 5, "model__random_type": "uniform", "model__treinador": "no_re"}
97	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 6, "model__random_type": "normal", "model__treinador": "no_re"}
98	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 6, "model__random_type": "uniform", "model__treinador": "no_re"}
99	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 7, "model__random_type": "normal", "model__treinador": "no_re"}
100	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 7, "model__random_type": "uniform", "model__treinador": "no_re"}
101	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 8, "model__random_type": "normal", "model__treinador": "no_re"}
102	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 8, "model__random_type": "uniform", "model__treinador": "no_re"}
103	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 9, "model__random_type": "normal", "model__treinador": "no_re"}
104	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 9, "model__random_type": "uniform", "model__treinador": "no_re"}
105	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 10, "model__random_type": "normal", "model__treinador": "no_re"}
106	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 10, "model__random_type": "uniform", "model__treinador": "no_re"}
107	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 13, "model__random_type": "normal", "model__treinador": "no_re"}
108	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 13, "model__random_type": "uniform", "model__treinador": "no_re"}
109	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 17, "model__random_type": "normal", "model__treinador": "no_re"}
110	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 17, "model__random_type": "uniform", "model__treinador": "no_re"}
111	0.4818181818181818	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 25, "model__random_type": "normal", "model__treinador": "no_re"}
112	0.42727272727272725	5	0	{"model__hidden_units": 3, "model__activation_function": "tanh", "model__C": 25, "model__random_type": "uniform", "model__treinador": "no_re"}
113	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 0, "model__random_type": "normal", "model__treinador": "no_re"}
114	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 0, "model__random_type": "uniform", "model__treinador": "no_re"}
115	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 1, "model__random_type": "normal", "model__treinador": "no_re"}
116	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 1, "model__random_type": "uniform", "model__treinador": "no_re"}
117	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 2, "model__random_type": "normal", "model__treinador": "no_re"}
