,Fluorita,Mixed,Perovskita,Pirocloro,RockSalt,Spinel
Fluorita,0.92,0.0,0.04,0.04,0.0,0.0
Mixed,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182
Perovskita,0.09523809523809523,0.047619047619047616,0.7619047619047619,0.09523809523809523,0.0,0.0
Pirocloro,0.1875,0.1875,0.0625,0.5625,0.0,0.0
RockSalt,0.0,0.02631578947368421,0.0,0.0,0.9473684210526315,0.02631578947368421
Spinel,0.0,0.0,0.0,0.0,0.11538461538461539,0.8846153846153846
