,Fluorita,Mixed,Perovskita,Pirocloro,RockSalt,Spinel
Fluorita,0.92,0.0,0.04,0.04,0.0,0.0
Mixed,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182
Perovskita,0.09523809523809523,0.0,0.7619047619047619,0.14285714285714285,0.0,0.0
Pirocloro,0.125,0.125,0.1875,0.5625,0.0,0.0
RockSalt,0.0,0.02631578947368421,0.0,0.0,0.9736842105263158,0.0
Spinel,0.0,0.0,0.0,0.0,0.15384615384615385,0.8461538461538461
